question_number,response_category,demographic_parameter,subgroup,responders_n,base_sub_total,freq
T1,A great deal,Overall Population,Overall Population,339,2818,12
T1,A great deal,Biological Sex,Men,202,1364,15
T1,A great deal,Biological Sex,Women,131,1397,9
T1,A great deal,Age,From 16 to 34,146,906,16
T1,A great deal,Age,From 35 to 54,122,982,12
T1,A great deal,Age,From 55 to 69,46,604,8
T1,A great deal,Age,70 and above,17,272,6
T1,A great deal,Age,35 and above,184,1858,10
T1,A great deal,Age,Under 55,268,1888,14.000000000000002
T1,A great deal,Area Type (Population Density),Urban (All),277,2308,12
T1,A great deal,Area Type (Population Density),Rural (All),62,510,12
T1,A great deal,Area Type (Population Density),Urban (Large),159,1110,14.000000000000002
T1,A great deal,Area Type (Population Density),Urban (Other),78,884,9
T1,A great deal,Area Type (Population Density),Small Towns (Accessible),27,224,12
T1,A great deal,Area Type (Population Density),Small Towns (Remote),13,90,14.000000000000002
T1,A great deal,Area Type (Population Density),Rural (Accessible),39,343,11
T1,A great deal,Area Type (Population Density),Rural (Remote),22,167,13
T1,A great deal,Energy Hub Area,Yes/Applicable,75,513,15
T1,A great deal,Energy Hub Area,No/Not Applicable,264,2305,11
T1,A great deal,Flood Risk Area,Yes/Applicable,111,920,12
T1,A great deal,Flood Risk Area,No/Not Applicable,228,1898,12
T1,A great deal,Education,No Formal Qualifications,17,247,7.000000000000001
T1,A great deal,Education,Other Qualifications,99,1265,8
T1,A great deal,Education,Degree or Higher Qualifications,194,1056,18
T1,A great deal,Education,Non-graduate,116,1512,8
T1,A great deal,Working Status,Employed (FT or PT),238,1717,14.000000000000002
T1,A great deal,Working Status,Unemployed,52,528,10
T1,A great deal,Working Status,Retired,30,456,7.000000000000001
T1,A great deal,Income,"Less than £26,000",81,746,11
T1,A great deal,Income,"From £26,000 to less than £52,000",102,759,13
T1,A great deal,Income,"Less than £52,000",183,1505,12
T1,A great deal,Income,"£52,000 and above",94,692,14.000000000000002
T1,A fair amount,Overall Population,Overall Population,1411,2818,50
T1,A fair amount,Biological Sex,Men,710,1364,52
T1,A fair amount,Biological Sex,Women,676,1397,48
T1,A fair amount,Age,From 16 to 34,490,906,54
T1,A fair amount,Age,From 35 to 54,453,982,46
T1,A fair amount,Age,From 55 to 69,289,604,48
T1,A fair amount,Age,70 and above,152,272,56.00000000000001
T1,A fair amount,Age,35 and above,895,1858,48
